ax_left,ay_left,az_left,wx_left,wy_left,wz_left,ax_right,ay_right,az_right,wx_right,wy_right,wz_right,id,time,person
0.271,-0.84,1.423,36.316,10.254,25.757,0.545,0.665,1.713,-26.367,5.737,-45.593,67,165,Vlad
0.385,-0.801,1.618,45.105,9.094,26.611,0.511,0.727,1.683,-27.588,0.244,-46.082,67,166,Vlad
0.389,-0.746,1.516,31.128,14.404,23.438,0.564,0.776,1.664,-25.818,2.991,-50.659,67,167,Vlad
0.488,-0.824,1.528,36.499,8.301,32.166,0.598,0.792,1.68,-27.954,5.31,-51.819,67,168,Vlad
0.421,-0.949,1.514,32.593,5.188,43.823,0.496,0.825,1.645,-28.259,13.489,-52.307,67,169,Vlad
0.239,-0.898,1.58,36.621,-2.441,54.688,0.346,0.851,1.686,-25.818,16.907,-57.495,67,170,Vlad
0.363,-0.809,1.713,38.757,4.333,53.04,0.51,0.752,1.71,-22.827,17.761,-59.937,67,171,Vlad
0.351,-0.789,1.549,31.799,10.864,57.373,0.479,0.881,1.675,-26.672,17.212,-61.218,67,172,Vlad
0.091,-0.887,1.593,35.034,4.883,64.941,0.268,0.86,1.702,-22.156,24.841,-65.247,67,173,Vlad
0.048,-0.702,1.727,36.194,-1.77,66.65,0.417,0.768,1.733,-18.494,24.292,-67.444,67,174,Vlad
0.238,-0.645,1.667,27.649,12.939,55.603,0.351,0.8,1.733,-19.226,28.442,-63.232,67,175,Vlad
0.271,-0.823,1.53,26.062,14.465,51.575,0.32,0.765,1.745,-13.855,24.231,-65.43,67,176,Vlad
0.043,-0.802,1.553,27.71,12.024,53.589,0.315,0.758,1.786,-13.611,3.296,-59.082,67,177,Vlad
0.155,-0.671,1.661,28.992,5.981,45.166,0.384,0.771,1.749,-12.207,1.77,-49.988,67,178,Vlad
0.208,-0.817,1.601,23.499,18.86,36.438,0.281,0.873,1.764,-10.376,0.427,-50.11,67,179,Vlad
0.154,-0.806,1.604,23.987,18.799,32.959,0.218,0.782,1.736,-12.451,-4.944,-46.997,67,180,Vlad
0.096,-0.875,1.685,26.123,12.634,35.706,0.295,0.823,1.746,-12.39,-8.85,-44.983,67,181,Vlad
0.226,-0.805,1.705,25.146,14.893,25.757,0.288,0.894,1.736,-16.785,-13.428,-37.598,67,182,Vlad
0.25,-0.875,1.629,20.203,18.188,22.4,0.224,0.864,1.685,-17.273,-9.216,-36.621,67,183,Vlad
0.088,-1.004,1.706,20.752,0.488,28.625,0.156,0.874,1.739,-14.587,-8.789,-40.894,67,184,Vlad
0.109,-0.857,1.766,19.531,-2.441,23.621,0.314,0.876,1.732,-17.7,-7.263,-32.104,67,185,Vlad
0.229,-0.833,1.708,16.174,10.925,13.55,0.282,0.891,1.708,-13.062,1.648,-24.597,67,186,Vlad
0.248,-0.886,1.663,11.475,14.587,7.507,0.242,0.846,1.718,-7.507,3.113,-18.677,67,187,Vlad
0.104,-0.899,1.698,10.254,-1.648,7.935,0.221,0.816,1.778,-6.409,1.831,-9.338,67,188,Vlad
0.09,-0.853,1.745,7.813,-5.371,-2.197,0.283,0.834,1.754,-4.211,6.714,2.625,67,189,Vlad
0.31,-0.798,1.727,2.075,4.761,-18.921,0.33,0.861,1.751,-2.014,9.216,12.756,67,190,Vlad
0.256,-0.869,1.658,-3.357,4.761,-24.17,0.301,0.813,1.788,0.732,9.888,19.47,67,191,Vlad
0.08,-0.896,1.713,-4.517,-10.315,-19.409,0.107,0.878,1.805,4.883,6.165,23.804,67,192,Vlad
-0.01,-0.872,1.793,-4.639,-10.132,-23.071,0.26,0.899,1.786,2.136,4.944,28.381,67,193,Vlad
0.329,-0.848,1.818,-6.409,3.967,-36.865,0.452,0.917,1.798,-0.122,9.277,31.25,67,194,Vlad
0.38,-0.933,1.634,-12.512,15.747,-41.199,0.222,0.974,1.789,6.287,6.714,28.381,67,195,Vlad
0.121,-1.021,1.712,-10.01,-6.714,-26.367,0.24,0.896,1.815,9.46,1.282,23.987,67,196,Vlad
0.33,-0.957,1.791,-11.78,-15.259,-24.109,0.398,0.971,1.777,6.104,0.549,25.818,67,197,Vlad
0.212,-1.061,1.692,-12.939,-12.39,-17.456,0.246,1.107,1.734,7.874,1.709,22.339,67,198,Vlad
0.085,-1.083,1.775,-7.141,-21.179,1.77,0.306,1.083,1.749,8.85,0.0,9.399,67,199,Vlad
0.331,-1.071,1.716,-3.052,-15.747,12.695,0.23,1.099,1.777,7.507,1.953,-8.972,67,200,Vlad
0.102,-1.249,1.673,6.592,-12.573,36.011,0.239,1.079,1.799,2.014,-5.371,-26.733,67,201,Vlad
-0.074,-1.032,1.757,17.029,-5.066,44.739,0.277,0.998,1.787,-0.61,1.465,-34.058,67,202,Vlad
0.074,-0.868,1.716,17.944,0.793,41.931,0.32,0.932,1.738,-0.916,8.301,-34.546,67,203,Vlad
0.054,-0.867,1.685,9.766,11.047,32.898,0.312,0.902,1.764,2.991,13.855,-35.095,67,204,Vlad
0.259,-0.736,1.646,1.465,21.24,15.869,0.419,0.828,1.764,4.517,13.123,-27.954,67,205,Vlad
0.494,-0.803,1.534,-5.92,29.419,9.216,0.264,0.853,1.746,11.78,11.597,-21.362,67,206,Vlad
0.146,-0.981,1.54,-3.845,8.179,20.569,0.088,0.918,1.783,14.221,-1.526,-18.005,67,207,Vlad
-0.034,-1.014,1.648,5.066,-12.085,25.879,0.14,0.965,1.762,9.827,-8.423,-14.465,67,208,Vlad
-0.059,-0.928,1.727,10.01,-5.493,24.353,0.174,1.01,1.765,1.343,-2.747,-24.963,67,209,Vlad
0.053,-0.94,1.754,10.193,27.893,24.963,0.265,1.005,1.716,-3.296,10.986,-35.034,67,210,Vlad
0.027,-1.085,1.751,8.606,22.827,37.048,0.224,0.999,1.719,-2.991,12.817,-49.805,67,211,Vlad
-0.007,-1.042,1.749,9.399,8.545,47.424,0.16,1.016,1.725,-2.93,7.324,-60.059,67,212,Vlad
-0.019,-0.975,1.743,13.428,6.958,57.312,0.115,0.954,1.691,-4.517,12.878,-61.829,67,213,Vlad
-0.003,-0.94,1.667,13.184,15.564,65.308,0.083,0.962,1.685,0.732,11.902,-63.538,67,214,Vlad
-0.075,-0.933,1.705,16.785,13.306,75.134,0.006,0.94,1.686,-2.502,14.954,-60.73,67,215,Vlad
-0.181,-0.929,1.645,24.231,35.706,64.026,0.114,0.908,1.732,-4.578,22.4,-51.758,67,216,Vlad
-0.015,-0.893,1.616,25.818,52.979,46.631,0.159,0.887,1.738,-11.902,7.446,-39.917,67,217,Vlad
0.005,-0.819,1.623,24.719,50.537,21.362,0.206,0.889,1.729,-15.503,5.798,-23.621,67,218,Vlad
0.117,-0.813,1.653,20.447,65.186,-13.672,0.405,0.909,1.683,-14.832,6.836,4.395,67,219,Vlad
0.514,-0.819,1.699,13.306,67.2,-44.617,0.328,0.819,1.772,-7.874,-2.686,23.315,67,220,Vlad
0.242,-0.805,1.724,9.949,38.94,-58.044,0.122,0.836,1.809,-5.005,-16.235,34.607,67,221,Vlad
